iter	Passed	Remaining
664	1363	686
665	1364	684
666	1366	682
667	1367	679
668	1369	677
669	1370	675
670	1372	672
671	1373	670
672	1375	668
673	1376	665
674	1378	663
675	1379	661
676	1382	659
677	1383	657
678	1385	654
679	1386	652
680	1388	650
681	1390	648
682	1391	645
683	1392	643
684	1394	641
685	1395	638
686	1397	636
687	1398	634
688	1400	631
689	1401	629
690	1403	627
691	1405	625
692	1406	623
693	1407	620
694	1409	618
695	1411	616
696	1413	614
697	1414	612
698	1415	609
699	1417	607
700	1419	605
701	1420	602
702	1421	600
703	1423	598
704	1425	596
705	1426	594
706	1428	592
707	1430	589
708	1431	587
709	1433	585
710	1434	583
711	1436	580
712	1437	578
713	1438	576
714	1440	574
715	1442	571
716	1443	569
717	1444	567
718	1446	565
719	1448	563
720	1449	561
721	1451	558
722	1452	556
723	1455	554
724	1456	552
725	1458	550
726	1459	548
727	1460	545
728	1462	543
729	1464	541
730	1465	539
731	1467	537
732	1469	535
733	1470	532
734	1472	530
735	1473	528
736	1475	526
737	1477	524
738	1478	522
739	1480	520
740	1481	517
741	1482	515
742	1484	513
743	1486	511
744	1487	509
745	1489	507
746	1490	504
747	1492	502
748	1493	500
749	1494	498
750	1496	496
751	1497	493
752	1499	491
753	1500	489
754	1501	487
755	1503	485
756	1505	483
757	1506	481
758	1508	478
759	1509	476
760	1510	474
761	1512	472
762	1513	470
763	1515	468
764	1516	465
765	1518	463
766	1520	462
767	1522	459
768	1523	457
769	1524	455
770	1526	453
771	1527	451
772	1529	449
773	1530	446
774	1531	444
775	1533	442
776	1534	440
777	1536	438
778	1537	436
779	1538	434
780	1540	431
781	1542	429
782	1543	427
783	1545	425
784	1546	423
785	1547	421
786	1549	419
787	1551	417
788	1552	415
789	1554	413
790	1555	411
791	1557	408
792	1558	406
793	1559	404
794	1561	402
795	1562	400
796	1565	398
797	1566	396
798	1567	394
799	1569	392
800	1570	390
801	1572	388
802	1573	386
803	1575	384
804	1576	381
805	1578	379
806	1579	377
807	1580	375
808	1582	373
809	1583	371
810	1584	369
811	1587	367
812	1588	365
813	1590	363
814	1591	361
815	1593	359
816	1594	357
817	1596	355
818	1597	353
819	1598	350
820	1600	348
821	1601	346
822	1603	344
823	1604	342
824	1605	340
825	1607	338
826	1608	336
827	1610	334
828	1611	332
829	1613	330
830	1614	328
831	1615	326
832	1617	324
833	1618	322
834	1620	320
835	1621	318
836	1623	316
837	1624	314
838	1626	312
839	1627	310
840	1628	307
841	1630	305
842	1631	303
843	1633	301
844	1634	299
845	1635	297
846	1637	295
847	1638	293
848	1639	291
849	1641	289
850	1642	287
851	1644	285
852	1645	283
853	1647	281
854	1648	279
855	1650	277
856	1651	275
857	1653	273
858	1654	271
859	1656	269
860	1657	267
861	1658	265
862	1660	263
863	1661	261
864	1662	259
865	1664	257
866	1665	255
867	1667	253
868	1669	251
869	1670	249
870	1672	247
871	1673	245
872	1675	243
873	1676	241
874	1677	239
875	1679	237
876	1680	235
877	1682	233
878	1683	231
879	1685	229
880	1686	227
881	1687	225
882	1689	223
883	1690	221
884	1692	219
885	1693	217
886	1695	215
887	1697	214
888	1698	212
889	1700	210
890	1701	208
891	1703	206
892	1704	204
893	1706	202
894	1707	200
895	1708	198
896	1710	196
897	1712	194
898	1713	192
899	1715	190
900	1716	188
901	1719	186
902	1720	184
903	1722	182
904	1723	180
905	1725	178
906	1727	177
907	1728	175
908	1730	173
909	1731	171
910	1733	169
911	1735	167
912	1736	165
913	1738	163
914	1739	161
915	1741	159
916	1742	157
917	1743	155
918	1745	153
919	1746	151
920	1748	149
921	1750	148
922	1751	146
923	1752	144
924	1754	142
925	1756	140
926	1757	138
927	1759	136
928	1760	134
929	1765	132
930	1766	130
931	1767	128
932	1769	127
933	1771	125
934	1772	123
935	1773	121
936	1775	119
937	1778	117
938	1779	115
939	1780	113
940	1782	111
941	1784	109
942	1786	107
943	1787	106
944	1789	104
945	1790	102
946	1792	100
947	1793	98
948	1795	96
949	1796	94
950	1798	92
951	1799	90
952	1801	88
953	1802	86
954	1805	85
955	1806	83
956	1808	81
957	1809	79
958	1811	77
959	1812	75
960	1813	73
961	1815	71
962	1816	69
963	1818	67
964	1820	66
965	1821	64
966	1823	62
967	1825	60
968	1827	58
969	1828	56
970	1830	54
971	1831	52
972	1834	50
973	1835	49
974	1837	47
975	1838	45
976	1840	43
977	1842	41
978	1843	39
979	1845	37
980	1846	35
981	1847	33
982	1849	31
983	1850	30
984	1852	28
985	1853	26
986	1854	24
987	1857	22
988	1858	20
989	1860	18
990	1861	16
991	1862	15
992	1864	13
993	1865	11
994	1867	9
995	1868	7
996	1870	5
997	1873	3
998	1874	1
999	1876	0
